movie_id,actor_id
38153,55636
17130,111946
17708,58317
10013,3391
75656,44735
19187,20750
18147,18975
864,12976
6439,51391
43595,2638
14351,59300
34417,22125
116745,10872
12159,18750
1636,13918
14976,60898
14033,8210
46529,20374
12079,17881
13689,1733
105864,2954
76757,18973
840,3037
43935,17271
14517,47632
146631,1084848
13475,62064
12508,973
11683,2778
1988,5346
12920,501
454,6193
7301,1893
348,5047
10314,33260
13539,22290
24438,520
121986,1175394
307081,53714
37414,1893
2832,2956
21311,326
64639,7517
4327,140
41733,58225
42188,37625
51828,1276
36669,10882
18074,100
286217,1892
37165,350
227735,15852
10391,326
53457,17498
104,1081
239678,23532
387,5228
13518,158079
9504,3151
10281,64719
4922,3063
11586,7071
29963,17064
114635,155752
9923,116
43947,129928
206213,211590
6114,64
47327,886
14034,518
121,110
11062,3036
13579,74610
44634,18284
12123,3293
56715,28781
8359,17140
10140,11108
196867,1055235
51540,95101
42109,5676
6488,27106
9715,4800
244114,482101
14047,77277
20360,81869
2667,26852
5902,21605
207769,109156
22787,3967
2008,20654
351819,9562
11823,6162
9903,658
109414,17051
5176,3894
11353,776
67660,22122
11858,13240
8981,17276
289180,1121635
113406,85142
2062,65
11499,4724
9383,1951
8744,6450
357834,1046202
2789,1372
11212,6684
76163,16644
206197,1385063
36643,517
389425,4138
14474,518
361475,6238
10400,5292
58595,74568
136795,55536
304357,61134
4348,116
18405,2234
20737,20623
22954,192
176,2130
32274,2049
59457,136532
300673,11107
955,500
175574,887
82684,17276
11113,12727
15092,20189
300706,81133
2698,1230
293660,1047649
11644,8891
193613,122889
68924,11148
11411,193
5353,9274
9624,23880
13515,2628
48289,15735
36658,1327
88794,25879
192577,133168
13405,8329
9907,14405
13223,74308
2135,13633
251979,109653
13812,53828
134411,18918
30867,64188
10047,6450
5038,15556
7450,69597
41382,58197
309503,17178
2110,1003
288927,171633
4256,6736
108346,2206
12184,524
9991,15196
11217,56251
13250,49
11676,504
201,1213786
31174,516
13497,18270
39851,1733
133805,20750
1051,6355
11361,21320
10431,1336
8291,9788
72570,38673
10944,10431
11889,204
84329,882
228326,8691
5528,21171
77949,11356
77174,558925
44857,1951
1382,16860
10545,65598
2539,19292
581,1581
1683,17605
115872,15533
29064,13919
72105,52139
4959,2296
31246,155488
6073,1204
16028,73836
10077,1083
13460,56890
3482,13784
13537,2838
239566,172069
17834,519
68734,17419
1018,15007
152737,5064
9009,3129
10029,6941
16508,115502
224569,19189
156022,56734
166624,37153
7942,11108
9562,1518
6278,10695
12618,17764
87093,78080
299552,22063
18937,2130
4233,15234
12163,2295
837,102
101299,27972
32579,36628
20763,109
32657,53336
14854,141
16633,10223
168259,8167
323677,1388314
13539,2299
66942,227099
578,3037
184345,154000
16899,10860
18533,19775
11404,10989
38780,60650
25248,106712
37724,3810
1585,17752
593,1190211
13335,53493
38031,9138
193722,83527
227348,1746117
11967,2880
22913,382
12158,32486
2163,6856
10664,54532
173,2092
14220,18324
10312,2157
9823,1736
1946,65
131634,96066
64499,239944
39895,55267
10025,19664
93456,4495
4327,69597
9433,5590
27029,3672
25786,12021
164457,57755
1649,18355
7341,52474
14608,9206
128,20331
8835,11826
522,85
1360,3136
59968,11664
311,4513
13150,819
5126,2956
13579,9778
370662,1523611
296098,31
10339,29655
9208,2224
30315,99837
239573,11006
9433,4173
44990,24305
324352,1213599
89492,22226
17403,42626
140300,70851
347969,884
1830,2963
334,4764
11904,70881
57825,5471
10072,5139
76203,17288
238615,10859
395766,34715
3638,6383
606,5064
87818,1772
1024,204
239573,4937
10191,24264
9302,4135
54580,16869
7461,2178
956,10182
239571,11006
2085,21352
613,680
291270,11207
14844,33532
10970,6844
13156,3895
1574,1922
94352,221147
96534,44651
616,3899
45324,11164
54138,8691
111190,32
14557,19184
312113,86468
254,3489
31203,22306
44835,24045
13362,206946
9092,4783
41479,55085
18632,26069
23827,90597
10664,34793
188161,6885
9826,4515
13938,77299
68726,95101
248402,1356402
11692,5916
1819,887
4257,1772
708,1924
16353,81039
14538,21045
11679,2231
49529,21044
75638,10205
60420,72129
747,11110
8204,1281
47607,139135
17431,115146
634,5472
10727,66745
79698,76850
16110,7447
44826,77996
9705,8891
14014,89498
414,2176
9916,60459
10999,6486
844,1337
10514,65508
9833,17276
1259,5309
16158,55755
8961,2888
277,100
26268,3636
50321,58873
10637,883
10676,11784
4012,9207
256917,99314
13996,4566
8456,55086
3021,2231
60309,5530
96399,1271
142061,56930
31163,11852
4967,7399
161,1892
15189,1896
227,2878
257932,530
232679,8767
18713,77761
231576,125025
340816,2387
23742,56903
10313,1229
7859,53055
10776,8872
57943,55152
9444,1062
9023,2505
771,11511
13363,21722
38717,8767
59962,2524
322,2228
9549,6065
12404,6194
15544,43946
82650,111922
9969,518
9912,60370
362765,1519320
41317,26662
11836,70615
14324,76916
641,6161
23172,429
44944,54421
14834,9779
184346,25616
45791,5472
509,18022
9889,1206
39691,11006
673,10990
2976,4690
65754,290
29339,56365
702,10539
9469,5292
10985,11664
292483,83272
226354,145116
14849,77353
32235,4174
10735,29220
77877,221809
6477,212
1724,3129
1255,21687
9313,16927
549,7487
12177,12073
218500,16433
59968,22226
38745,2956
12245,101
14873,52404
49010,585
41515,12111
20794,4784
227306,85065
258489,27319
197,2462
71805,5168
45650,109441
33644,9780
262500,94185
2009,39959
21309,1064
31535,96010
2114,7447
17139,79448
65,328
19844,19149
8355,5724
19495,19487
328425,23532
46420,136347
2043,192
14137,2877
671,10990
75986,8944
10760,60072
14191,60072
707,10660
16,50
253331,1269
315011,224664
18276,60073
38322,53336
11598,52615
169917,35029
22479,10431
12144,71447
253253,83854
1598,380
47452,93839
15765,2975
11495,18181
66942,81331
8141,4939
68,381
11007,67773
9899,23659
33676,57082
1378,19764
49953,59620
25195,36801
26390,1896
75900,37632
98,935
9104,228
68924,10205
205321,78031
16232,9780
325133,29222
38031,3489
66125,6164
26618,21197
71157,13688
8850,14698
64807,16483
6947,3490
45649,57093
11648,20
179144,128236
137113,5081
90,777
881,514
192141,25703
9290,57147
863,3234
21355,9976
11001,4169
9509,47775
681,10190
24055,45407
592,8351
26518,1186733
16471,54812
1844,738
7364,955
22825,11006
24575,56930
256591,17289
9767,4491
15049,142995
256924,1158
9770,18658
12281,28042
65057,1461
10739,6886
11517,10814
9659,26060
12159,9777
59678,11109
228161,5374
12506,5292
2043,2140
9285,57599
5353,1205
8367,1269
9297,884
157058,932695
34549,4496
34851,8602
22314,36424
10527,7399
298,1892
215211,3627
10577,17276
25520,707
14144,59154
11469,36219
10545,3416
11826,6972
5915,227
1779,17087
782,9642
2355,19292
3059,8829
14012,74428
10764,18182
9593,1100
14846,328
40932,1047312
121,109
106845,59296
227735,192
17170,521
455,1244
11257,10978
8885,56198
270946,18864
395766,63608
13688,57607
16112,25503
9782,2157
94329,113732
203833,1639
192134,20766
703,1243
2022,1241
10483,11148
11866,6065
1792,1892
11935,30585
7303,5469
126319,2192
41830,28048
12085,3897
9952,18324
12612,7400
8363,54691
2008,20655
1389,10182
20856,58478
17334,57171
9464,856
14278,82841
11456,4937
287524,217055
53182,17286
9741,2231
11298,10662
9378,4252
14624,17140
37931,41091
18886,36067
473,1173
77495,27462
96724,27428
9089,18686
17813,11661
9096,11478
117942,1428378
270946,12097
14284,106840
13816,37934
745,62
39349,49002
27581,13240
46705,30614
180383,10743
90369,225692
98566,21200
83588,121566
266034,19360
1598,4431
110402,143667
290555,429
10191,17276
43595,103616
76617,1054724
39180,61981
13768,5606
24428,3223
526,585
280391,2408
12207,69636
46727,53283
38363,3489
35791,17303
10646,3035
97614,59315
7515,52847
10471,57389
8285,16856
4824,16897
13889,96637
228326,38673
273481,16851
3080,30181
17880,8447
1248,16789
533,7317
634,3291
5175,18897
41630,18976
258509,15033
1599,10437
71547,14061
11042,8791
11361,9221
30867,107173
41233,138009
168530,9778
22597,18082
861,10768
451,6104
11820,1204
76285,33235
13160,52605
55720,1350973
14560,32895
191714,76793
10803,14464
10674,776
157350,204
10390,4764
10439,520
228326,8688
173931,53926
14854,10938
16158,4987
14156,122442
55779,37059
1382,16861
220490,1263940
308531,21200
577,73421
13335,41686
13408,65134
42033,158360
862,31
303858,85065
9447,1937
49365,20752
250902,934844
11072,13640
273248,2231
198184,82191
11826,2282
39303,1236
186,2299
8011,38559
243,1562
10153,2231
12704,6449
2293,23646
82702,449
52451,33235
225886,52997
3175,31071
10096,20750
20009,17881
77950,454
40688,778
11863,9046
8843,4937
82507,7132
244786,129104
18892,35551
241766,5538
215,2138
9582,11662
50035,1246
228165,34398
14392,25246
61752,21353
9096,738
67373,3085
10878,18324
7735,17373
25636,8289
284293,37917
173,2091
14034,78029
22908,990
11357,62589
11342,20766
291362,76245
400,4520
5966,7399
62255,62753
21338,4520
22301,87480
59440,41421
10288,530
290595,6885
69382,558542
389425,23880
41009,2037
9067,3489
311,4512
12877,20286
23988,7633
15976,312548
38541,37014
9978,3061
251,2395
188652,98310
222935,94185
200,2387
12484,72440
38543,17648
58431,1016168
37707,98
282128,162359
9906,2963
27582,976
1949,131
19724,19159
86549,933319
30082,105668
12138,6856
84355,14892
216015,1254583
122906,93210
9631,1979
18475,15899
34341,27125
4599,11661
9339,19292
1771,1331
11113,1932
16988,20196
24748,1934
19848,1911
16888,51857
157293,86020
9408,1229
23827,90596
25704,17289
8416,34027
75033,13550
8870,4589
539,7304
17130,343
7345,11856
376010,172994
9043,6194
464,6283
10663,19292
2675,28042
48171,4173
10135,723
378200,52851
954,500
887,13578
2841,2405
9424,11006
13072,106814
9988,52049
57212,91606
88036,458843
10388,28641
66767,545343
75033,15565
10727,66744
82533,1094969
13159,6352
16769,5606
11678,2053
8675,34517
25975,3034
1832,1892
227156,1229
18828,62842
12612,2468
14359,5064
591,31
11545,11616
13853,589
120467,1291350
9007,10825
10307,5168
10774,8252
9034,118
58,114
51820,103944
395,5412
225886,41088
11452,10859
41830,936
82990,455033
206647,27319
226486,55536
44754,1892
9614,4443
10521,11661
342,5202
85,652
2266,524
24664,22675
55465,13550
73511,51072
771,11510
42618,4090
24869,65802
169,1109
49020,39658
22600,13098
22804,2144
2907,27888
332285,2838
508,116
7518,62
22538,18793
4032,11510
57165,65731
453,934
393,139
404,5605
21283,76667
673,10989
3021,3036
2662,27737
686,1038
46435,78018
1949,103
667,10068
176124,131935
9683,6407
106646,6193
9053,55776
9709,14887
34101,111871
207769,101416
55779,1223185
197,2461
1265,27972
795,5344
22972,1892
10131,5139
180296,56322
913,14343
5722,45110
38073,15033
107846,16483
11802,8447
67373,7164
2013,8791
9555,57953
43839,10922
38055,56323
860,12850
20856,86653
3512,10866
1852,1579
141,131
10028,327
68179,52997
11876,15533
1649,15903
581,6804
6435,38940
49730,21029
14757,77276
9342,4173
1710,10205
13491,1640
8536,13726
361398,3202
10691,205
14057,1231
345911,1352028
24428,103
99861,3223
320,2157
7737,18041
11065,40979
25312,10917
12106,193
27723,9273
22805,11085
11535,21594
7735,49767
82650,89819
242095,1017347
38985,9768
1537,17358
134,1461
12657,55638
38940,14592
370980,127252
11165,7664
470,2228
345003,46948
10208,64180
60243,240240
132363,2178
8587,53283
10468,110
10622,18897
16690,34982
10765,39015
103328,8170
9574,4443
198185,2053
9493,518
11162,1158
11683,5723
15013,477
10681,60074
12160,193
10028,52847
854,42168
27023,884
127560,5472
13816,18288
28053,1271
27380,1757
228205,52018
25643,20750
9870,40462
11820,12041
240832,1245
14177,5588
37694,154950
1091,65827
22805,6613
296,1100
11971,29859
12634,192
22794,3085
192136,2038
13685,74940
180,2206
66942,133212
13160,25703
57214,225694
746,6720
10641,57829
12201,5538
841,6677
68722,1233
142061,42160
10521,23821
12535,14639
9822,2053
9729,5472
12103,328
6973,6885
63287,11826
11033,3895
27936,18177
133931,61959
12211,38559
9042,6614
549,2954
4816,39596
14655,1897
744,11084
59917,104035
113464,14061
38223,49961
8046,16866
10895,13819
327833,16644
29697,104687
25793,52851
10195,524
19489,134
225235,1067188
74777,572407
9344,2838
11891,4489
3059,8828
1443,4512
23629,20089
243940,119589
10152,13920
40932,1047313
6171,11155
28121,16217
10530,28010
60400,95624
30309,192506
80321,7399
489,2157
10186,11678
39845,4517
27759,14261
17202,80602
2162,22108
122081,77948
14869,38673
591,2405
71679,63
11863,9625
31174,388
290825,576173
2044,6384
